article_id,source_id,title,published,summary
A519,scmp_world,"In France, prosecutors probe secret filming of women with smart glasses",2026-09-23T03:57:56+00:00,Paris prosecutors said Tuesday they had opened several probes after receiving complaints concerning women filmed on the street without their consent using smart glasses. Anyone wearing smart glasses c
A520,scmp_world,Gulf tech firms turn to Hong Kong and Singapore as Iran war grinds on,2026-09-23T00:00:15+00:00,"Paul Bratby had already drawn up plans for expanding to Hong Kong when war broke out in the Middle East earlier this year. But the founder of xBratAI, a Dubai-based AI-powered trading signals platform"
A521,scmp_world,"Canada seeks to wrap up India trade talks soon, as US ties fray",2026-09-22T23:52:31+00:00,Canadian Prime Minister Mark Carney said on Tuesday that trade negotiations with India are making “good progress” and that the two countries are aiming to conclude talks by the G20 summit in mid-Decem
A522,scmp_world,"Zelensky meets Trump, says Ukraine ready for energy truce with Russia",2026-09-22T22:34:24+00:00,"Ukrainian leader Volodymyr Zelensky said on Tuesday that he and US President Donald Trump had discussed efforts to end the four-year-old war with Russia, including a potential bilateral ceasefire on e"
A523,scmp_world,US ‘looksmaxxing’ influencer Clavicular charged with raping 17-year-old,2026-09-22T21:50:12+00:00,"The social media influencer “Clavicular”, who gained a following promoting the online “looksmaxxing” trend, has been charged in Massachusetts with raping a 17-year-old girl who told police she became "
A524,scmp_world,"Trump criticises UK’s Chagos deal, says new British PM Burnham will reconsider",2026-09-22T18:36:30+00:00,"US President Donald Trump said Tuesday that his country’s relations with Britain were better under new Prime Minister Andy Burnham, but he criticised a deal to hand over the Chagos Islands. Trump and "
A525,scmp_world,"Hayden Panettiere died from accidental overdose involving fentanyl, coroner says",2026-09-22T17:10:06+00:00,"US actress Hayden Panettiere died from an accidental overdose of several drugs, including fentanyl, a coroner in South Carolina said on Tuesday. Panettiere, 36, was found unresponsive in an apartment "
A526,scmp_world,Why China’s frontier AI pioneers are expected to miss this week’s Xi-Trump summit,2026-09-22T14:00:05+00:00,"As President Xi Jinping prepares to travel to the United States to meet his American counterpart Donald Trump, attention is turning to the group of business leaders who could join him. The South China"
A527,scmp_world,"Trump, Denmark and Greenland sign deal to resolve Arctic stand-off",2026-09-22T13:56:04+00:00,US President Donald Trump and the leaders of Greenland and Denmark signed an agreement on Tuesday that permits a larger US military presence on Greenland and may resolve a stand-off over the strategic
A528,scmp_world,Nicaragua govt responsible for at least 8 deaths in custody since 2018: UN,2026-09-22T12:14:17+00:00,"The Nicaraguan government is responsible for at least eight deaths in custody since it began its crackdown on dissent and assault of democratic institutions in 2018, UN experts said Tuesday. The repor"
A529,scmp_world,4 dead in Ukraine after Russian missile and drone attacks on industrial cities,2026-09-22T10:58:49+00:00,"Russia fired ballistic missiles at the southern Ukrainian industrial cities of Dnipro, Kryvyi Rih and Pavlohrad overnight, killing at least four people and wounding six, the governor of the Dnipropetr"
A530,straits_times,"Trump’s Board of Peace to unveil $3.13 billion Gaza recovery plan, Axios reports",2026-09-23T10:16:48+00:00,"The 66-project proposal includes estimated spending for temporary housing, rubble removal and hospital repairs."
A531,straits_times,Republicans may have gerrymandered their way into a Texas-sized Latino problem,2026-09-23T10:07:22+00:00,"DONNA, Texas, Sept 23 - South Texas unfurls in long stretches of highways across flat landscapes dotted with pump jacks, mesquite trees, and gas stations sporting prices that voters swear should not b"
A532,straits_times,"US Senate Democrats seek sanctions over Israeli settlements, Bill says",2026-09-23T10:07:02+00:00,It is the latest sign of growing friction between Democrats in Congress and the Israeli government.
A533,straits_times,News outlets will ask judge to end Trump&#x27;s White House ban at hearing,2026-09-23T10:06:50+00:00,"WASHINGTON, Sept 23 - News outlets CNN, MS NOW and Politico will ask a federal judge on Wednesday to immediately restore their access to the White House after President Donald Trump banned them in one"
A534,straits_times,Pope Leo urges global action to help child migrants,2026-09-23T09:41:48+00:00,"VATICAN CITY, Sept 23 - Pope Leo lamented on Wednesday conditions suffered by migrant and refugee children and urged global action to protect young people fleeing their home countries in search of saf"
A535,straits_times,Britain says will revisit Chagos deal after latest Trump criticism,2026-09-23T09:39:00+00:00,"The deal would have given Britain a 99-year lease of the base, with the option to extend."
A536,straits_times,Iranian airlines cancel flights as US sanctions hit,2026-09-23T09:38:19+00:00,"A travel agent in Tehran said that flights to Baghdad, Muscat, Qatar, Georgia and Azerbaijan had all been suspended."
A537,straits_times,Kremlin says UK Burnham&#x27;s decision to stir up anti-Russian sentiment in UN speech was short-sighted,2026-09-23T09:26:37+00:00,"MOSCOW, Sept 23 - The Kremlin said on Wednesday that British Prime Minister Andy Burnham had unwisely chosen to stir up anti-Russian sentiment in a speech to the UN General Assembly in which he accuse"
A538,straits_times,"As the Houthis gain ground, Riyadh faces the painful reality of a hostile neighbour on its border",2026-09-23T09:15:00+00:00,"With the Houthis advancing in Yemen, Saudi Arabia faces oil export blockages on both the Gulf and Red Sea"
A539,straits_times,Greenland welcomes US military pact but trust still shaky,2026-09-23T09:06:36+00:00,Some worry that expanded military activity could disrupt local hunting and fishing grounds.
A540,straits_times,"In first, French presidential candidate gives birth during campaign",2026-09-23T09:05:33+00:00,"Marine Tondelier gave birth to her boy, Leon, in Lens in northern France on Sept 18."
A541,straits_times,Erased by AI: Stanford swops Hispanic student for black woman in campus photo,2026-09-23T08:56:26+00:00,Universities have been accused of doctoring photos to showcase diversity in the past.
A542,straits_times,Britain to launch new military space squadron to protect satellites,2026-09-23T08:40:00+00:00,The new squadron will protect critical satellites used in communications and to warn of incoming missile attacks.
A543,straits_times,Two killed in Gaza in strike Israel says targeted a Hamas finance chief,2026-09-23T08:31:24+00:00,Two other people were wounded.
A544,straits_times,"Russia hits Kyiv petrol stations, kills one",2026-09-23T08:21:36+00:00,"KYIV, Sept 23 - Russia slammed jet-powered drones into two petrol stations and other sites in Kyiv early on Wednesday, killing one, hours after President Volodymyr Zelenskiy met US President Donald Tr"
A545,straits_times,Rome’s Colosseum closes to tourists after worker death,2026-09-23T08:15:00+00:00,"The worker, 22, reportedly died after falling from a height while working on a lighting installation."
A546,straits_times,Voting opens in Alaska’s annual Fat Bear Week,2026-09-23T08:00:00+00:00,The bears compete to see which one has most impressively piled on the pounds ahead of hibernation.
A547,straits_times,Argentina&#x27;s Milei addresses UN as tensions rise over Falkland Islands,2026-09-23T07:06:33+00:00,Sept 23 - Argentina&#x27;s President Javier Milei on Wednesday will address world leaders at the United Nations General Assembly amid escalating tensions with Britain over oil exploration around the F
A548,straits_times,"South African house party shooting kills 11, could be gang violence",2026-09-23T06:16:24+00:00,"JOHANNESBURG, Sept 23 - Three armed men opened fire on guests at a house party in a township south of the South African city of Durban on Tuesday night, killing at least 11 and injuring three, in what"
A549,straits_times,Catalonia&#x27;s far-right surge divides independence camp as migration fears grow,2026-09-23T06:06:36+00:00,"BARCELONA, Sept 23 - Almost a decade after Catalonia&#x27;s failed independence bid, a growing number of voters are shifting their focus from secession to issues such as immigration and crime, fuellin"
A550,straits_times,"Hasta la vista, influencer: ‘Terminator’ robot floors US prankster in cage fight",2026-09-23T05:45:00+00:00,"Influencer Frankie LaPenna squares off a 1.8m-tall robot, and sparks doom fears."
A551,straits_times,"Many countries are optimistic about AI, poll finds",2026-09-23T05:15:00+00:00,The margins between hope and fear about the new technology were wide.
A552,straits_times,AI political ads warp reality ahead of US midterms,2026-09-23T03:40:00+00:00,"The proliferation of AI ads in US federal, state and local elections comes against the backdrop of declining trust in the technology."
A553,straits_times,Venezuelan opposition leader Machado fails in return attempts as Rodriguez meets Trump,2026-09-23T03:21:34+00:00,"Sept 22 - Venezuelan opposition leader Maria Corina Machado made three unsuccessful bids to return to Venezuela in recent hours, her team and media said on Tuesday, as interim President Delcy Rodrigue"
A554,straits_times,"Anthropic, OpenAI release cheaper AI even as safety fears grow",2026-09-23T03:00:00+00:00,Anthropic says its Opus 5.5 model delivers performance close to its Fable AI model.
A555,straits_times,"Venezuelan opposition leader Machado fails to enter country, acting President Rodriguez meets Trump",2026-09-23T03:00:00+00:00,"Machado sought to travel from Panama to Venezuela by several routes, trying three times in 24 hours to no avail."
A556,straits_times,US top diplomat Rubio to meet Russian Foreign Minister Lavrov on Wednesday,2026-09-23T02:41:29+00:00,"WASHINGTON, Sept 22 - US Secretary of State Marco Rubio will meet Russian Foreign Minister Sergey Lavrov in New York City on Wednesday morning, the State Department said late on Tuesday."
A557,straits_times,Mexico classrooms go phone-free under new school rules,2026-09-23T02:31:22+00:00,The measure restricts cellphone and tablet use in primary and secondary schools.
A558,straits_times,"Embraer says GPS instability reports affect some aircraft, including E2 jets",2026-09-23T02:15:00+00:00,Embraer said that there was no impact on flight safety.
A559,straits_times,"ShinyHunters hackers say they breached FBI, stole data on bureau employees",2026-09-23T01:55:00+00:00,The FBI said it is currently investigating the claims.
A560,straits_times,"US halts Obamacare enrollment for over 760,000 enrollees, claiming fraud",2026-09-23T01:54:00+00:00,"The US Centers for Medicare &amp; Medicaid Services cancelled about 315,000 plans in August."
A561,straits_times,"Trump bought and sold shares in Musk’s SpaceX in July, financial disclosure shows",2026-09-23T01:30:00+00:00,The latest trades add a new financial link between the president and Musk’s rocket ​company.
A562,straits_times,Trump renames AI ‘super intelligence’ as leaders jostle over dangers,2026-09-23T01:15:00+00:00,The US leader argues that &quot;artificial&quot; undersells the technology and hoped the world would adopt the new term.
A563,straits_times,Moroccans vote in election set to shape government before World Cup,2026-09-23T01:04:22+00:00,"RABAT, Sept 23 - Moroccans vote in an election on Wednesday that will shape the government overseeing the final stages of a $20-billion push to prepare for the 2030 World Cup and projects to direct ec"
A564,straits_times,Ex-Google safety chief warns AI could harm children more than social media did,2026-09-23T00:30:00+00:00,Tom Siegel’s concerns mirror a growing fear among some tech insiders on the threat AI poses to children.
A565,straits_times,Mexico arrests alleged prominent fentanyl trafficker,2026-09-23T00:24:14+00:00,"MEXICO CITY, Sept 22 - An alleged Mexican drug trafficker accused of coordinating and financing an organization dedicated to transporting chemical precursors used for the production of fentanyl from C"
A566,straits_times,Wife of US seismologist held in China says Trump will ask Xi to free him,2026-09-23T00:19:25+00:00,Trump will welcome Xi on Sept 23 for their second meeting since May.
A567,straits_times,"Papua New Guinea police bust human trafficking ring, rescue 39 Indonesians",2026-09-23T00:00:00+00:00,Police in Papua New Guinea said they had rescued 39 human trafficking victims and arrested four Chinese nationals in what they called a “deeply disturbing” case.
A568,straits_times,Zelenskiy says Russia planning new mass attack on Ukraine,2026-09-22T23:39:22+00:00,"Sept 22 - Ukrainian President Volodymyr Zelenskiy said Russia was planning a new major attack on his country, in comments published on Tuesday."
A569,straits_times,Trump meets Venezuela&#x27;s Rodriguez for first time since Maduro&#x27;s capture,2026-09-22T23:19:21+00:00,"NEW YORK, Sept 22 - US President Donald Trump met Venezuela&#x27;s interim President Delcy Rodriguez late on Tuesday on the sidelines of the UN General Assembly, their first meeting since American for"
A570,straits_times,Trump administration to admit primarily Afrikaners under new refugee proposal,2026-09-22T22:39:21+00:00,South Africa denied Trump&#x27;s claims that Afrikaners face racial persecution in the Black-majority country.
A571,straits_times,"Anthropic, OpenEvidence partner to bring medical AI worldwide",2026-09-22T22:35:00+00:00,The initiative is being rolled out in about 100 countries with limited access to medical resources.
A572,straits_times,"While You Were Sleeping: 5 stories you might have missed, Sept 23, 2026",2026-09-22T22:25:11+00:00,"While You Were Sleeping: 5 stories you might have missed, Sept 23, 2026."
A573,straits_times,Estonia says France must explain push to lift EU sanctions on Usmanov,2026-09-22T22:24:22+00:00,"UNITED NATIONS, Sept 22 - France should explain itself after it pushed for the lifting of EU sanctions on Russian-Uzbek billionaire Alisher Usmanov, Estonia&#x27;s foreign minister said on Tuesday, de"
A574,straits_times,"Belgium, Rwanda resume diplomatic relations after DRC conflict dispute",2026-09-22T21:29:23+00:00,"BRUSSELS, Sept 22 - Belgium and Rwanda have resumed diplomatic relations 18 months after breaking ties due to a dispute over the conflict in eastern Democratic Republic of Congo."
A575,straits_times,"Zuckerberg, Bourla among tech, bank CEOs set for Trump’s state dinner with China’s Xi",2026-09-22T20:24:20+00:00,"Guests are expected to include Amazon’s Jeff Bezos, Alphabet’s Sundar Pichai, OpenAI’s Sam Altman."
A576,straits_times,"In UN farewell, Macron denounces Trump’s Gaza diplomacy as spectacle of shame",2026-09-22T20:14:23+00:00,Macron was delivering his final address to the UN before leaving office in 2027.
A577,straits_times,Gunman who fired on police outside Canada synagogue dies from wounds,2026-09-22T20:11:18+00:00,Officers protecting the place of worship returned fire on the 29-year-old gunman.
A578,straits_times,Prosecutors in France probe secret filming of women with smart glasses,2026-09-22T19:55:42+00:00,Several probes have been opened after women were filmed without their consent.
A579,straits_times,"Britain will stand firm over Falklands, UK PM Burnham tells Trump",2026-09-22T19:44:25+00:00,"UNITED NATIONS, Sept 22 - Prime Minister Andy Burnham set out Britain&#x27;s position on the Falkland Islands during a meeting with US President Donald Trump on Tuesday, saying he would stand firm in "
A580,the_diplomat,Trump and Xi: Strongmen at the Temple of Thymos,2026-09-22T18:43:00+00:00,The ego-driven fragility of a world run by Xi Jinping and Donald Trump.
A581,the_diplomat,3 Ts Will Dominate the Trump-Xi Summit,2026-09-22T15:58:00+00:00,"Expect little movement on trade, less on Taiwan, and who knows on tech."
A582,the_diplomat,A Debate Is Raging in China Over English Education,2026-09-22T15:29:00+00:00,"Rising youth unemployment, the advent of AI translation, and growing anger against everything foreign are fueling public anger against English education in China."
A583,the_diplomat,America’s AI Safety Dilemma and the Trump-Xi Summit,2026-09-22T14:35:00+00:00,"Washington will not slow its own AI labs. Slowing China’s instead would look like safety policy, but it could cost the United States the one AI deal within reach this week."
A584,the_diplomat,"SCO, BRICS, Trump-Xi: What Does the Spate of Summits Mean for India?",2026-09-22T13:55:00+00:00,This year’s summit season reveals conflicting visions of global order (and India’s place in it).
A585,the_diplomat,The Transitions Shaping Australia’s Future,2026-09-22T13:25:00+00:00,"In its latest Intergenerational Report, the Australian Treasury lays out five transitions shaping the coming decades."
A586,the_diplomat,Why South Korea Has Little Room to Send Troops to Hormuz,2026-09-22T13:20:00+00:00,"Seoul has previously sent troops to support U.S. military operations in the Middle East. Today, both the external and domestic environments make that much harder to do."
A587,the_diplomat,"BRICS 2026 Reveals Ambition, Contradictions, and Uncertain Futures",2026-09-22T12:33:00+00:00,"BRICS’ New Delhi Summit expanded the grouping’s ambitions, but geopolitical divisions and weak institutional clarity continue to challenge its future."
A588,the_diplomat,The Battle for Taiwan’s East: Taipei’s Western Pacific Strategy,2026-09-22T12:29:00+00:00,The PLA has stepped up both the scale and intensity of its activities in the airspace and waters east of Taiwan. How can Taipei respond?
A589,the_diplomat,Maldives’ Dollar Crisis Becomes a Political Test for President Muizzu,2026-09-22T10:44:00+00:00,His handling of the dollar crisis could define his record before he returns to the voters to seek a second term.
A590,the_guardian,London buses in decline? Why public transport in global cities is slowing to a crawl – visualised,2026-09-23T06:00:18+00:00,"As experts fear for future of UK capital’s bus network, some commuters are giving up entirely. London is not alone – with worrying implications for the poorest in societyExperts warn that slower buses"
A591,the_guardian,How would AI actually ‘kill all humans’? Here are the top five most likely scenarios | Toby Walsh,2026-09-23T00:51:57+00:00,"From a dangerous new bioweapon to total societal breakdown, is a ‘superintelligent’ AI capable of wiping out humanity?Earlier this month, artificial intelligence researcher Jacob Coxon resigned from A"
A592,the_guardian,"As Japan swelters, farmers turn to new heat-resistant rice varieties to boost staple crop",2026-09-23T03:23:13+00:00,"New rice varieties give hope that farmers can overcome the climate emergency and a warmer future that threatens harvestsWhen schoolchildren in Shiroishi were enlisted to plant rice seedlings in June, "
A593,the_guardian,"‘My body is on fire!’: my perilous, painful, perfect month of pilates",2026-09-23T04:00:15+00:00,"A growing number of men, including singers Shaggy and Harry Styles, are taking up pilates. When I realised I could no longer touch my toes, I decided to try it outI realised something needed to change"
A594,the_guardian,"The Great British Bake Off review – Nigella is wise, generous … and perfect for this national treasure of a show",2026-09-22T20:30:04+00:00,The newest judge on the culinary competition is a soothing presence who is the ideal complement to Paul Hollywood. Long may the show continue with her on itThere’s a very good argument to be made for 
A595,the_guardian,A moment that changed me: my brother gave me an unexpected gift – and a whole new life at sea,2026-09-23T05:45:15+00:00,"The water was my childhood playground but, as I grew up, my health left me landbound. Then my brother found a way to launch me back into the waves ...My brother and I grew up surfing at Porthcawl in s"
A596,the_guardian,"Huge El Niño projected to cause 450,000 deaths in next six months",2026-09-23T04:00:15+00:00,"New report predicts a heavy toll from Nigeria to the US – and comes on top of existing impacts of the climate crisisMore than 450,000 people are projected to die from the additional heat brought by th"
A597,the_guardian,"Iran and US have held talks on sidelines of UN summit, says Donald Trump",2026-09-22T21:21:59+00:00,Senior Iranian official indicates willingness to reopen strait of Hormuz if US takes steps to ease pressure on TehranIranian officials held three hours of talks with US special envoy Steve Witkoff on 
A598,the_guardian,Zelenskyy to present Ukraine’s case to UN general assembly – live,2026-09-23T10:24:40+00:00,"Second day of UNGA in New York will feature speeches by European leaders, while Trump and Xi will meet laterThese latest attacks come just hours before Volodymyr Zelenskyy’s address to the UN general "
A599,the_guardian,"Chagos Islands deal ‘can’t go ahead’ without US support, Streeting says",2026-09-23T10:11:13+00:00,Defence secretary places annual payments to Mauritius on hold as UK government reviews deal over Diego Garcia baseUK politics live – latest updatesWes Streeting has said annual payments worth at least
A600,the_guardian,Japan PM pledges support for international criminal court after Trump calls it ‘out of control’,2026-09-23T04:48:01+00:00,"Sanae Takaichi has been under domestic pressure to publicly support the ICC, after the US sanctioned the court and its Japanese presidentJapan’s prime minister, Sanae Takaichi, has voiced her country’"
A601,the_guardian,"Top South African police officer charged with raping woman, 18, and grooming 16-year-old girl",2026-09-23T09:38:06+00:00,Arrest of Shadrack Sibiya comes as country reels from cases of femicide and alleged police corruption and criminalityOne of South Africa’s most senior police officers has been charged with raping an 1
A602,the_guardian,Sri Lanka Easter bombings: 15 sentenced to hundreds of years in prison each over deadly terror attacks,2026-09-23T00:43:00+00:00,Islamic State-inspired bombings of churches and hotels in 2019 was one of the country’s worst ever attacksA court in Sri Lanka has convicted 15 men on terrorist charges for their involvement in the de
A603,the_guardian,Ireland manager gets prime minister Martin’s backing in row with Israel over ‘genocide’,2026-09-23T09:31:02+00:00,"Heimir Hallgrímsson accused of ‘stupidity’ by Israel’s FAMicheál Martin says IFA’s response is ‘unacceptable’Ireland’s prime minister, Micheál Martin, backed his country’s football manager, Heimir Hal"
A604,the_guardian,Dolly Parton estate in feud with nephew over alleged ‘warfare’ threats,2026-09-23T10:08:29+00:00,"Bryan Seaver, who announced Parton’s death to the world, is alleged to have intimidated her manager and others, which he deniesThe estate of the late Dolly Parton is involved in a dispute with the cou"
A605,the_guardian,AI looms large over Trump-Xi meeting amid deep distrust between US and China,2026-09-23T02:35:59+00:00,"Fears persist about Trump ‘sucking up’ to Xi on Taiwan, but few concrete outcomes anticipated from US meetingWhen Xi Jinping, China’s leader, touches down in Maryland on Wednesday, he will step out in"
A606,the_guardian,"Floods, landslides and storms: Typhoon Dujuan ravages Japan – in pictures",2026-09-23T02:03:40+00:00,Six people have died as the typhoon hit the Chiba and Kanagawa prefectures with potentially record-breaking rainfall to come as the storm nears TokyoTyphoon Dujuan and festival clear-up: photos of the
A607,the_guardian,How a village in Uttar Pradesh revived India’s lost art of public debate,2026-09-23T09:00:07+00:00,"As political discourse in the country is increasingly suppressed and polarised, in a village tent, a local magistrate’s attempt to bring back a national tradition attracted thousands of participantsTh"
A608,the_guardian,‘Sometimes I do cruel things – and it’s worth it’: the fabulous shameless art of the great Sophie Calle,2026-09-23T04:00:14+00:00,"The French artist has stalked people, posed as a hotel maid to get into rooms, and filmed her mother’s last breath. Has she any regrets? Non! As a major UK show opens, she recalls her career highsI’ve"
A609,the_guardian,From 50p gold hot pants to Paul Smith suits: how Kylie Minogue became one of pop’s ultimate chameleons,2026-09-23T06:00:18+00:00,"The star’s rise from Ramsay Street to global superstar is the subject of a new book. It’s a journey that has cleverly harnessed the power of fashion to transform, subvert – and shockOn 20 December 198"
A610,the_guardian,Lesbian artists celebrated in three new California exhibitions: ‘Long overdue’,2026-09-23T09:00:09+00:00,"Monica Majoli, Millie Wilson and Susan Silton gain visibility in LA after decades of queer women’s artistic erasureIn the late seventies, when the LA-based artist Monica Majoli was 12, she began spend"
A611,the_guardian,Remake review – Ross McElwee’s magnificent and moving tribute to a tragic loss and the art it inspired,2026-09-23T06:00:17+00:00,Sherman’s March director McElwee revisits footage of his late son for this magnificently affecting film and meditation on making artThis new film from revered documentary-maker Ross McElwee is an extr
A612,the_guardian,Britain’s Slave Traders by William A Pettigrew review – the inconvenient truth,2026-09-23T06:00:16+00:00,This revelatory history shows just how deeply embedded slavery is in the foundations of modern BritainOne tedious aspect of Britain’s post-imperial melancholia is the number of amateur historians who 
A613,the_guardian,Brothers review – Woody Harrelson and Matthew McConaughey’s super-fun sitcom about the chance they’re related,2026-09-23T04:00:14+00:00,The actors co-star in a lightly fictionalised meta-comedy about their real-life bromance – and possible sharing of parents. It’s a tasty little treatThe cheek! The indulgence! The privilege! Did anyon
A614,the_guardian,Alpabzug! Swiss mountain alpaca herding – in pictures,2026-09-23T10:00:46+00:00,Each autumn the traditional alpabzug (descent of herds) sees farmers in Switzerland move their livestock from mountain pastures down to valley barns. In the Griesalp area above Kiental around 70 alpac
